fip,Tow_4-D,ATRAZINE,CHLORIMURON,DICAMBA,FOMESAFEN,GLYPHOSATE,PARAQUAT
06087,,,,,,1379.5,690.2
06089,1865.8,1516.1,,55.6,,1713.3,466.4
06091,247.5,,,,,21.7,
06093,7544.4,,,291.4,,881.3,2499.5
06095,12884.6,63.4,,516.1,,15101.5,5319.7
06097,397.4,,,,,23888.6,382.2
06099,9062.2,,,273.4,,64066.6,15744.3
06101,4812.6,,,119.2,,15568.9,2681.9
06103,2857.9,1474.7,,92.7,,20261.5,1337.5
06105,369.2,,,,,610.9,
06107,8897.5,,,4236.9,,156303.2,44594
06109,388.1,3244.1,,3.3,,12291.6,5.9
06111,712.8,35.5,,77.5,,40596.7,610
06113,9306.1,,,1097.7,,37277.9,6637.8
06115,728,27.3,,,,4420.5,1483.5
08001,12845.7,12524.3,,3091.4,,4951.3,865.6
08003,2090.9,1388.5,,1148.1,,873.7,1123.1
08005,3508.3,2901.4,,1399,,1368.5,201.5
08007,120.9,35.8,,74,,73.8,109.9
08009,49687.7,44124.4,,4916.5,,9913.4,1405.6
08011,6405.8,4988.1,,3264.8,,1508.5,215.3
08013,858.8,1249,,789.3,1.5,1181.3,132.6
08015,135,38.6,,90,,230.7,165.2
08017,15229.1,25471.6,,4623.6,,7345.3,852.7
08019,7.1,,,0.8,,0.5,
08021,1653.7,1032.3,,1087.1,,542.2,1165.1
08023,1460.1,795.2,,760,,508.2,685.5
08025,1665.3,1289.1,,1433.2,,359.3,37.2
08027,90.2,,,333.9,,40.1,
08029,1763.3,2306.8,,552.4,,2552.7,911.5
08031,222.4,,,78.7,,26.5,19.8
08033,2209,777,,269.5,,913.4,273.8
08035,217.7,259.6,,649.6,,215.3,8.4
08037,327.5,,,115.3,,243.8,177.5
08039,2868,2835.8,,4515.8,,1882.5,168.7
08041,776.2,844.3,,3243.6,,1018.8,17.7
08043,257.2,40.9,,854.3,,99.9,1.7
08045,953.6,511.8,,436,,488,631.3
08047,29.8,,,3.2,,1.9,
08049,511.8,,,61.8,,55.1,13.7
