FIPS,FIPSTEXT,FarmLand_Ac
17159,17159,188938
17161,17161,149098
17163,17163,251748
17165,17165,139777
17167,17167,514034
17169,17169,182185
17171,17171,147577
17173,17173,405847
17175,17175,168146
17177,17177,352640
17179,17179,335934
17181,17181,121193
17183,17183,434091
17185,17185,106447
17187,17187,338461
17189,17189,355006
17191,17191,368671
17193,17193,310952
17195,17195,403324
17197,17197,233906
17199,17199,103531
17201,17201,183016
17203,17203,322930
18001,18001,210252
18003,18003,270921
18005,18005,171615
18007,18007,254124
18009,18009,88007
18011,18011,221673
18013,18013,14576
18015,18015,204157
18017,18017,200208
18019,18019,78505
18021,18021,162953
18023,18023,223467
18025,18025,46355
18027,18027,225122
18029,18029,56622
18031,18031,186463
18033,18033,160923
18035,18035,175160
18037,18037,174736
18039,18039,172819
18041,18041,78302
18043,18043,21496
18045,18045,214482
18047,18047,124986
18049,18049,188384
18051,18051,268005
18053,18053,183386
18055,18055,181227
18057,18057,130980
18059,18059,165882
18061,18061,134889
18063,18063,218485
18065,18065,176564
18067,18067,144203
18069,18069,188814
18071,18071,183838
18073,18073,282946
18075,18075,175675
18077,18077,95322
18079,18079,123401
18081,18081,144578
18083,18083,329268
18085,18085,254739
18087,18087,204089
18089,18089,133137
18091,18091,227831
18093,18093,134538
18095,18095,205061
18097,18097,20038
18099,18099,206412
18101,18101,62532
18103,18103,175377
18105,18105,52772
18107,18107,286784
18109,18109,137288
18111,18111,192071
18113,18113,181427
18115,18115,21448
18117,18117,98160
18119,18119,95430
18121,18121,176454
18123,18123,66207
18125,18125,80003
18127,18127,120402
18129,18129,228836
18131,18131,216477
18133,18133,197751
18135,18135,241172
18137,18137,166570
18139,18139,207653
18141,18141,152090
18143,18143,51422
18145,18145,233141
18147,18147,170387
18149,18149,133550
18151,18151,104539
18153,18153,170267
18155,18155,50558
18157,18157,219674
18159,18159,145236
18161,18161,74498
18163,18163,76572
18165,18165,118369
18167,18167,117492
18169,18169,197705
18171,18171,175981
18173,18173,99498
18175,18175,199572
18177,18177,155812
18179,18179,200239
18181,18181,288043
18183,18183,140026
19001,19001,323528
